제목,날짜,abstract
웹 기반 집단미술치료 과정에서 나타나는 언어적 상호작용에 관한 질적 사례연구,2020.1,"본 연구는 웹 기반 집단미술치료 과정에서 나타나는 치료사와 내담자의 언어적 상호작용을 통해 웹 기반 심리치료의 가능성을 모색하는 것에 목적을 두었다.  이는 초연결사회로 나아가고 있는 시대적 변화와 함께 코로나 19로 사회적 거리 두기가이루어지면서 심리치료 분야에서도 비대면을 통한 치료 및 상담이 요구되고 있기 때문이다.  이에 본 연구에서는 웹 기반집단미술치료 안에서 치료사와의 상호작용에 미치는 요소들과의 관계를 살펴보고 내담자의 자기 인식 변화과정에 대해 논의하였다.  본 연구를 통해 분석된 연구 결과는 다음과 같다.  첫째, 미술치료 환경에서 웹 기반 플랫폼의 새롭고 낯선 '공간', 서로에게 집중하고 한 걸음씩 다가가려는 치료사와 내담자들의 '참여', 작품활동에서 집중과 몰입의 결과물로써 '미술 작품'이순환적 관계로 연결되어 영향을 주고 있음이 나타났다."
REBT와 만다라 미술치료를 통합한 집단상담이 위기 청소년의 안정적 자존감에 미치는 영향 연구,2020.1,"본 연구는 위기 청소년을 대상으로 REBT와 만다라 미술치료를 통합한 집단상담 프로그램을 개발 및 실시하여, 위기 청소년의 안정적인 자존감에 미치는 영향을 연구하였다.  본 연구는 2019년 3월에서 6월까지, 경기도 A시의 경찰서에서 위탁받은 17~19세 청소년 10명을 대상으로 50분씩 10회기로 진행되었다.  연구의 효과를 측정하기 위해서 자존감 안정성 척도(Stability of Self-Esteem Scal: SSES)를 사용하여 사전 사후에 검사하였으며, 만다라 미술치료와 REBT를 사용한 비합리적 신념 및 변화된 신념과 관련된 회기를 질적 분석 하였다.  본 집단상담 프로그램은 라포 형성 단계, 비합리적 사고 이미지화 단계, 비합리적 사고 및 심상을 재구성하는 단계, 교정된 사고로 유지단계로 구성하여 진행하였다.  본 연구 결과 만다라 미술치료는 위기 청소년들의 비합리적 신념을 찾고, 논박하고, 변화된 신념을 확인하는 과정에 도움을 주고, REBT와 만다라 미술치료를 통합한 집단상담 프로그램은 위기 청소년의 안정적인 자존감에 긍정적인 영향을 미친다."
양극성정동장애 중년남성에 대한 미술치료 내러티브 탐구,2020.1,"본 연구는 양극성정동장애 진단을 받은 중년남성이 미술치료를 통해 자신의 삶의 이야기를 어떻게 풀어나가는지 살펴보고, 미술치료를 통해 얻은 경험이 연구 대상자에게 어떠한 의미를 가지는지에 대해 탐구하는데 목적이 있다.  연구 대상자에게 미술치료를 2016년 12월부터 2017년 4월까지 주 1회 실시하였으며, 그 과정에서 얻은 연구 대상자의 경험 이야기를 내러티브탐구 방법론을 적용하여 서술하였다.  연구 대상자의 경험 이야기가 지닌 의미를 이해하고 재구성하는 과정에서 '억압되었던 감정표출과 기억의 재경험', '자신의 부재로 살아온 무형적 상실의 삶', '삶에 대한 안정 욕구', '신앙과 봉사로 변화된 삶을 위한 의지'가 핵심 주제로 도출되었다.  본 연구는 미술치료현장에서 양극성정동장애 환자에 대한 정서행동 문제를 다루고 치료 방향을 설정하는데 있어 기초자료로 활용될 수 있는 경험적 사례연구 자료를 제공했다는데 의의가 있다. This study is aimed at exploring the experiences and art therapy treatment of a middle-aged man with bipolar disorder."
조현병 환우 가족의 미술치료 적용을 위한 현상학적 탐구,2019.1,"본 연구의 목적은 미술치료를 활용하여 조현병을 앓는 자식과 함께 살아가는 부모의 삶의 본질적 의미를 현상학적 방법으로 접근하고자 하였으며, 나아가 조현병 자식을 둔 부모에게 필요한 미술치료 적용 방안이 무엇인지를 탐색 하고자 하였다.  연구 참여자는 총 3명으로 조현병 자식과 함께 거주하며 주보호자 역할을 담당하는 부모로 선정하 였다.  자료 수집은 미술치료를 접목한 심층 면담 방법으로 현상 자체에 초점을 두고 현상을 있는 그대로 볼 수 있도록 하였다.  자료 수집 기간은 총 4개월 정도 소요되었으며, 일주일에 1회 90분씩, 4∼5회의 심층 면담이 이루어졌다.  본 연구에서는 조현병 자식을 둔 부모들이 공통적으로 단절되고 억압된 감정 상태와 회피 특성을 보여, 일반적인 인터뷰보다는 미술 치료를 접목한 심층 면담을 통해 좀 더 풍성한 자료들을 획득할 수 있었다."
NLP기법을 활용한 집단미술치료프로그램이 저소득층 중학생의 자기주도학습 준비도에 미치는 효과,2019.1,"본 연구는 저소득층 중학생의 자기주도학습 준비도(self-directed learning readiness)에 대한 NLP기법을 활용한 집단미술치료프로그램을 통해 그 효과성을 검증하고자 하였다.  연구대상은 00도에 소재하고 있는 중학교 교육복지우선 지원 사업 대상자 중, 참여를 희망하여 참가동의서와 신청서를 제출한 학생 24명(실험집단 8명, 비교집단 8명, 통제집단 8명)으로 선정하였다.  실험설계는 통제-비교집단 사전사후설계를 적용하였으며 실험집단은 NLP기법을 활용한 집단미술치료프로그램을, 비교집단은 집단미술치료프로그램을 실시하였다.  자료처리는 SPSS 22. 0 프로그램을 활용하여 자기주도학습 준비도 검사의 평균과 표준편차를 구하기 위해 기술통계를 실시하였으며, 세 집단 간에 실험집단이 효과가 있는지 검증하기 위해 공분산분석(ANCOVA)을 실시하였다."
집단미술치료가 성인 난치성 질환자의 삶의 질에 미치는 효과,2019.1,"본 연구는 집단미술치료가 난치성 질환자의삶의 질과 자아상과 정서에 어떤 효과가 있는지 알아보고자 하였다.  연구대상은 10명의 20 대에서 40대 남녀 성인들로 총 10회기, 회기당 120분으로 집단미술치료를 진행하였다.  연구도구로는 한국판 삶의 질(WHOOQOL-CS)척도와 DAS를 사용하여, 삶의 질과 정서 및 자아상의 변화를 비교 분석하였다.  연구자료는 전체 진행 과정의 기록, 녹취, 작품을 토대로회기별, 단계별 변화를 평가하였다.  연구결과로, 첫째, 집단미술치료가 성인 난치성 질환자들의 삶의 질에 긍정적인 변화를 가져다주었다."
다문화가족 학령기 아동의 사회적 기술 향상을 위한 해결중심 집단미술치료 프로그램의 효과성 검증,2019.1,"본 연구는 다문화가족 학령기 아동의 사회적 기술 향상을 위해 해결중심 집단미술치료 프로그램을 구성하고 긍정적인 또래관계 형성 및 사회․심리적 적응을 위한 효과적인 개입 방안을 제시하는 데 목적이 있다.  이러한 목적을 위하여 지역아동센터에서 공부방을 이용하는 초등학교에 재학 중인 사회적 기술에 어려움을 보이는 학령기 아동 6명을 대상으로 주1회 90분씩 총 8회기에 걸쳐 프로그램이 진행되었다.  본 연구의 효과성을 검증하기 위해 Mann-Whitney U Test와 Wilcoxon Signed-Rank Test를 통한 양적 분석과 질적 분석을 실시하였다.  본 연구 결과, 해결중심 집단미술치료 프로그램은 첫째, 다문화가족 학령기 아동의 사회적 기술 향상에 통계적으로 유의미한 차이를 보였다.  둘째, 회기별 관찰을 통해 다문화가족 학령기 아동의 또래관계에서 사회적 기술 및 사회․심리적 적응에 긍정적인 변화를 가져왔다."
존엄 기반 노인미술치료 체험연구,2019.1,"본 연구는 노인이 존엄 기반 노인미술치료를 통해 어떠한 경험을 하는지 탐구하고, 그 체험의 의미와 본질을 밝혀 심층적으로 이해하는 데 목적이 있다.  이를 위하여, Van Manen(1990)의 해석학적 현상학의 연구방법론 을 적용하였고, 존엄 기반 노인미술치료를 경험한 65세 이상의 노인들을 참여자로 선정하였다.  수집한 자료 를 분석한 결과 6개의 본질적 주제와 19개의 하위 주제를 도출하였다.  본 연구 결과에서 노인은 먼저, 미술 매체를 통해 체득된 경험이 감각을 깨워 뭉클함을 체험하였다.  또한 인생 회고를 거치며 반복적으로 자기 가치의 소중함을 자각하면서 관계에 대한 욕구가 충족되었다."
미술치료학과 대학생들의 비구조화 집단미술 치료 참여 경험에 대한 탐색적 연구,2018.9,"본 연구는 미술치료학과 대학생들의 비구조화 집단미술치료 경험을 탐색하고 그 경험의 의미를 이해하는데 있다.  이를 위해 자발적으로 참여한 집단 원들에게 주 1회 180분, 총 6회기 집단미술치료가 진행되었다.  프로그램 과정에서 주 치료사와 보조치료사가 참여자들의 경험에 대한 관찰을 바탕으로 매회기 활동일지를 작성하였으며, 프로그램 종결 후 참여자들의 참여경험에 대한 심층 면담을 진행하였다.  분석은 활동일지와 필사한 면담 내용을 바탕으로 콜레이지(Colaizzi)의 현상학적 분석 방법으로 진행하였다.  활동일지의 내용 분석에서는 총 66개의 진술, 12개의 주제가 도출되었으며, 이를 토대로 자기탐색 및 이해, 대인관계, 창의적 미술활동, 성장자원이라는 4개의 범주가 구성되었다."
학교부적응 중학생의 자아존중감과 불안에 대한 인지행동 미술치료 사례연구,2018.8,"연구목적: 본 연구는 인지행동 미술치료가 학교부적응 중학생의 자아존중감과 불안에 어떠한 영향을 주는지를 알아보기 위해 이루어졌다.  연구방법: 연구대상은 신장질환에 의한 장기 치료로 반복되는 학교 결석과 또래관계의 어려움으로 학교부적응을 보이는 중학교 2학년인 남학생이다.  연구 대상자의 특성에 맞는 인지행동 탐색과 교정을 위하여 12회기로 구성한 프로그램을 2개월간에 걸쳐 일대 일로 실시하였고 사후유지 관찰을 위해, 6주 후 재검사를 통하여 결과를 살펴보았다.  참여 학생의 변화를 알아보기 위한 검사도구로 자아존중감 검사와 상태-특성불안척도 검사, 청소년 행동척도(CBCL)검사 도구를 사용하였다.  대상자의 심리변화를 살펴보기 위해 KHTP, KSD의 그림 분석을 통한 프로그램 사전·사후 변화를 평가하였다."
이혼 가정 미술치료 연구 동향 분석-2002년~2017년 상반기 국내 연구를 중심으로-,2018.1,"본 연구는 국내 이혼 가정 미술치료 연구 동향을 분석하여 연구의 흐름을 알아보고, 앞으로 나아가야 할 방향성을 제시하는 데 목적이 있다.  이를 위해 2002년부터 2017년 상반기까지 이루어진 총 42편의 이혼 가정 미술치료 연구를 분석했다.  연구 분석은 연도별, 연구 대상, 연구 주제, 연구 방법, 중재 환경을 중심으로 하였으며, 이를 바탕으로 논의하였다.  본 연구를 통해 얻은 결과는 다음과 같다.  첫째, 이혼 가정 미술치료 연구는 이혼에 대한 사회적 관심을 반영하듯 매년 꾸준히 발표되고 있다."
바니타스 미술이 애도미술치료에 주는 의미에서의분석심리학적 고찰,2018.1,"본 연구는 바니타스 미술이 애도미술치료에 주는 의미를 분석심리학적 관점으로 살펴보고자 한다.  바니타스 미술의 탄생 배경 및 역사를 통해 주제의 변화를 알아보고, 바니타스 미술의 구성요소를 분석심리학적으로 살펴봄으로써 바니타스 미술이 애도미술치료에 어떤 의미를 주는가에 대해 고찰할 것이다.  바니타스 미술은 17세기경 네덜란드를 중심으로 성행한 회화 장르로서 삶과 죽음의 사유를 포함하는 이미지로 알려져 있으며, 바니타스 미술의 주요 구성요소들은 꽃, 거울, 시계, 책, 촛불, 해골 등이다.  이러한 구성요소 중 삶과 죽음의 대비를 가장 극명하게 보여주는 '꽃'과 '해골'이 그려진 미술 작품들을 통해 꽃과 해골의 이미지가 내포하는 의미를 분석심리학적으로 살펴보았다.  그리고, 애도과정에 대한 의미를 분석심리학적 관점으로 고찰하였다."
지역아동센터 이용아동의 자아존중감 향상을 위한 정신분석 집단미술치료의 효과 연구,2018.6,"정신분석에 근거한 미술치료는 취약아동 집단의 자아존중감을 향상하기 위한 유용한 방법의 하나이다.  이에 본 연구에서는 지역사회에서 대표적인 취약아동에 속하는 지역아동센터 이용아동들을 대상으로 정신분석에 근거한 집단미술치료 프로그램을 실시해서, 집단미술치료 프로그램이 취약아동의 자아존중감에 미치는 영향을 조사하였다.  본 연구에서는 정신분석에 근거한 집단미술치료 프로그램의 효과를 파악하기 위해, 프로그램 전후에 미술적 분석도구인 HTP검사와 비미술적 분석도구인 문장완성검사(SCT)를 실시하였다.  본 연구에서 분석한 결과, 정신분석에 근거한 집단미술치료 프로그램은 지역아동센터 이용아동의 자아존중감을 증진하는 데 효과가 있는 것으로 나타났다.  무엇보다도, 집단미술치료 프로그램은 지역아동센터 이용아동의 총체적 자아존중감을 향상하는 데 기여한 것으로 나타났다."
미술치료가 자원봉사자의 자기효능감 증진 및 스트레스 감소에 미치는 효과,2018.6,"본 연구는 미술치료가 자원봉사자의 자기효능감 증진 및 스트레스 감소에 미치는 효과에 대해 살펴보는 것이다.  본 연구는 D광역시 G재단 자원봉사자 20명을 대상으로, 실험집단 10명, 통제집단 10명으로 무작위 추출하였다.  실험집단에는 2017년 9월 3일부터 11월 26일까지 주 1회, 80분씩 총 12회기동안 미술치료를 실시하였으며, 통제집단은 무처치하였다.  양 집단 모두 프로그램 시행 전과 후, SES(Self-Efficacy Scale)와 스트레스 척도로 측정하였다.  연구의 결과는 SPSS WIN 17."
집단미술치료가 소년원재소 품행장애 청소년의 분노 조절과 사회성에 미치는 효과,2017.8,"본 연구는 집단미술치료가 소년원재소 품행장애 청소년의 분노 조절과 사회성에 미치는 효과에 대해 검증하고자 하였다.  연구대상은 경기도 U시에 소재한 S소년원에 재소중인 품행장애 청소년으로 실험집단, 통제집단 각 10명을 대상자로 구성하였으며 실험집단에 대해서 주 1회 90분씩 총10회기 집단미술치료 프로그램을 진행하였다.  측정도구로는 특성분노표현척도, 사회성 기술 평정 척도를 실시하였으며, 그림에서 나타나는 변화를 알아보기 위해 집-나무-사람 그림검사를 시행하였다.  연구에 수집된 자료는 SPSS 20. 0 프로그램을 사용하였고 사전?사후 검사를 통해 평균 점수를 산출 한 뒤 집단별로 Wilcoxon signed-rank test를 실시하여 자료를 분석하였다."
자폐스펙트럼장애 아동·청소년을 치료한 미술치료사의 경험,2017.8,"본 연구의 목적은 자폐스펙트럼장애 아동?청소년을 치료한 미술치료사의 경험에 관한 의미와 본질을 이해하는 것이다.  이에 본 연구에 적합한 6명의 미술치료사를 참여자로 선정하여 2015년 7월부터 2016년 6월까지 1:1 심층면담을 통해 자료를 수집하였다.  수집한 자료는 현상학적 질적 연구방법 중 참여자의 경험에 대한 생생한 기술에 초점을 맞추는 초월론적 또는 심리학적 현상학 접근의 Giorgi(1985/2004)의 연구방법을 이용하여 분석하였다.  그 결과 150개의 의미단위를 뽑고 이를 통합하고 범주화하는 과정을 거쳐 30개의 하위주제와 9개의 본질적 주제를 도출하였다.  이에 따른 자폐스펙트럼장애 아동?청소년을 치료한 미술치료사의 경험에 대한 본질적 주제는 <치료 초기에 느낀 당황스러움과 두려움>, <더딘 변화에 무능함이 느껴짐>, <부모의 무시로 속상해도 그들의 심정은 이해됨>, <내 상황에 그저 감사함>, <다각도로 노력함>, <결국, 나와의 싸움>, <엄마 같은 마음으로 대함>, <작은 성장에도 뿌듯하고 행복함>, <나는, 매력 있는 미술치료사!>이다."
부모-자녀 상호작용 미술치료 프로그램의 효과: 단일대상연구,2017.8,"본 연구는 부모-자녀 상호작용 미술치료 프로그램이 부모-자녀 상호작용 향상에 미치는 효과를 검증하고자 하였다.  본 연구대상은 A시 G연구소에 사회서비스 대상 중 부모-자녀 상호작용의 어려움을 갖고 있는 아동과 어머니 3쌍이다.  부모-자녀 상호작용 미술치료 프로그램을 주 1회, 총 10회기 동안 실시하였으며, 대상자간 중다 기초선 설계방법을 사용하였다.  프로그램의 구성은 부모-자녀 관계치료와 부모-자녀 관계 미술치료를 바탕으로 본 연구대상에 맞게 수정?보완하여 프로그램을 구성하였으며, 수련감독 미술치료전문가 3인의 타당성 검토를 거쳐 부모-자녀 상호작용 미술치료 프로그램을 구성하였다.  자료처리는 첫째, 회기별 부모의 상호작용과 아동의 상호작용의 변화를 부모자녀 상호작용 코딩시스템(DPICS)에 따라 관찰 측정하여 기초선, 중재, 유지를 비교하였다."
미술치료 사례개념화에 대한 치료사의 인식: 포커스 그룹 인터뷰를 중심으로,2017.8,"미술치료는 치료자, 내담자, 미술작품의 삼자관계로 이루어져 있으므로 그 독특성으로 인해 사례개념화도 상담 및 심리치료와는 차별화되는 부분이 있을 것이라는 전제를 가진다.  본 연구는 미술치료의 사례개념화에 대한 치료사의 인식을 알아보는 데 목적이 있다.  연구 참여자는 현재 미술치료사로 활동 중인 13명의 전문가 그룹을 모집하고 2개의 집단으로 나누어 포커스그룹 인터뷰를 진행하였다.  결과는 첫째, 사례개념화는 치료 진행을 위한 필수요소라는 점과 발표와 제출을 위한 형식 틀이라는 반응이 나타났다.  둘째, 사례개념화는 내담자 문제를 인식하고 상담을 효율적으로 진행하는데 효용성이 있다고 하였다."
분리불안 의심아동과 부모의 인지 및 정서반응의 변화를 위한 인지적 접근을 병행한 부모참여 미술치료 사례연구,2018.2,"연구목적: 이 연구에서는 인지적 접근을 병행한 부모참여 미술치료프로그램을 통한 분리불안 의심아동과 부모의 인지 및 정서 반응의 변화를 알아보았다.  연구방법: 연구대상은 분리불안 의심 증상을 보이는 초등학교 1학년 남자 아동 1명이었다.  미술치료 프로그램은 미술활동, 인지 재구조화, 부모참여의 세 가지 요소로 구성되었다.  프로그램은 총 16회기로, 전반부 6회기까지는 아동과의 일대일 활동 중심으로 진행되었고 후반부 부터는 부모와 함께하는 활동 중심으로 시행되었다.  연구 참여자의 인지 및 정서 반응의 변화를 알아보기 위해 다양한 투사그림 검사와 면담을 시행하였다."
미술 치료를 위한 LMT 그림 진단 지원 시스템,2018.3,
뇌성마비 환아의 운동 수행능력과 일상생활 능력에 대한 포괄적 미술치료의 효과,2019.1,"Purpose : 본 연구는 뇌성 마비 환아에서 일상생활의 신체 기능과 활동에 대한 포괄적 미술치료의 효과를 평가하고자 하였다.  Method : 보행 가능한 하지우세마비 뇌성마비 환아(n=8)와 편마비 뇌성마비 환아(n=2)의 총 10명을 대상으로 하였다.  무작위로 선정법에 의하여 미술치료군(n=5)과 대조군(n=5)으로 배정하였다.  대조군은 일주일에 한번, 하루에 20분씩 신경발달치료에 근거한 물리치료를 12주간 실시하였고, 미술치료 군의 환아들에게는 일주일에 한번, 하루에 70분씩 12주 동안 포괄적인 미술치료를 추가적으로 시행하였다.  근력 평가를 위하여 Motricity Index (MI), 체간 능력 평가를 위한 Trunk Control Test (TCT), 대근육 운동 기능을 평가하기 위한 GMFM (Gross Motor Function Measure), 전반적인 발달 수준을 평가하기 위해서 Denver Developmental Screening Test-II (DDST-II), 일상생활 능력을 평가하기 위하여 Functional Independence Measure of Children (WeeFIM), 팔과 다리 기능을 검사를 위한 Leg and Hand Ability Test (LHAT)가 치료 전과 후에 수행하였다."
치료적 미술 수업이 초등학교 5학년의 배려심과 자아존중감 향상에 미치는 영향,2019.1,"본 연구의 목적은 치료적 미술 수업이 초등학교 5학년의 배려심과 자아존중감 향상에 미치는 영향을 밝히고 향후 지속적으로 치료적 미술 수업이 학교 교육현장에서 활용되는데 필요한 기초 자료를 마련하는 데 있다.  이를 위하여 본 연구에서는 치료적 미술 수업을 독립 변인으로, 배려심과 자아존중감 변화를 종속 변인으로 하는 사전·사후검사 통제집단 설계를 사용하 였다.  본 연구의 결과는 첫째, 치료적 미술 수업은 초등학교 5학년의 배려심 향상에 긍정적인 영향을 끼쳤다.  둘째, 치료적 미술 수업은 초등학교 5학년의 자아존중감 향상에 긍정적인 영향을 끼쳤다.  셋째, 치료적 미술 수업의 과정 및 결과에 대해 질적 분석을 한 결과 치료적 미술 수업은 초등학교 5학년의 배려심과 자아존중감 향상에 긍정적인 영향을 끼쳤다."
요양병원 장기 입원 노인의 미술치료 체험: 해석학적 현상학 탐구,2019.1,"본 연구는 요양병원 장기 입원 노인의 미술치료를 통해 병원 생활의 체험을 탐구하고 이를 바탕으로 체험의 의미가 무엇인지 밝히는 것에 목적이 있다.  이를 위해 요양병원 장기 입원 노인 3명을 대상으로 미술치료를 실시하고, 해석학적 현상학의 연구 방법을 통해 분석하고 기술하였다.  연구대상자들의 미술치료 체험을 통해 본질적 주제는 '자신에 대한 부정적 인식', '지난날에 대한 회상', '감춰왔던 내면 모습과 마주함', '내적 욕구 발견', '삶의 의미부여와 인식전환'으로 도출되었다.  이러한 주제는 미술치료를 통해 연구대상자들이 자신의 내면세계와 마주하고 미술 활동을 통해 창조성을 발견하는 인식의 전환과 남은 삶에 대한 통합을 시도하는 과정으로 나타났다.  본 연구의 결과는 미술치료사들의 요양병원 장기입원 노인을 위한 미술치료적 방향에 기초적인 자료로 활용될 수 있을 것이다."
미술치료에서 미술치료자의 매체제공에 관한 연구,2019.1,"본 연구는 미술치료에서 미술치료자가 내담자에 따라 매체를 어떻게 제공하고 있으며 제공된 매체에 포함된 치료적 의미는 무엇인지를 알아보고자 서울, 수도권 지역에서 미술치료에 종사하고 있는 대상자들에게 설문지를 배포하고 103부를 회수하여 빈도분석을 하였다.  연구결과 첫째, 미술치료자들은 내담자에 따라 매체를 다르거나 동일하게 제공하였다.  둘째, 미술치료자는 내담자들의 주 호소, 연령, 성별, 매체선호반응 그리고 안전성에 따라 매체를 다르게 제공하였다.  셋째, 미술치료자는 매체에 대한 안전감, 내담자의 반응 그리고 발달에 매체를 동일하게 제공하였다.  연구결론은 첫째, 미술치료자는 매체제공과 관련하여 안전감을 가장 중요하게 생각한다."
미술치료자의 선호매체에 관한 연구,2019.1,"본 연구의 목적은 미술치료자의 선호매체를 조사하고 치료적 의미를 살펴보는데 있다.  수도권 지역에 종사하는 미술치료자를 대상으로 103부의 설문지를 수집하여 빈도 분석 하였다.  연구결과, 첫째, 미술치료자는 비교적 통제가 가능하고 대상자와 치료자를 안전하게 보호할 수 있는 평면건식매체를 가장 선호하였다.  둘째, 미술치료자는 통제가 어려운 비정형매체와 평면습식매체를 선호하지 않는 경향이 있다.  셋째, 미술치료자의 치료 경력에 따라 질적인 차이를 보였다."
지적장애학생을 위한 미술치료 및 미술교육 관련 실험연구 동향 분석: 최근 5년간(2013년∼2017년)을 중심으로,2019.1,"본 연구의 목적은 최근 5년간(2013∼2017년) 지적장애학생을 위한 미술치료(교육) 관련 국내 학위논문 및 학술지 논문의 연구경향을 분석하였다.  학술논문 발표검색 사이트 검색을 통하여 43편을 최종 선정하고 논문 편수, 항목별 비율, 빈도 등을 분석하여 표로 제시하였다.  연구결과는 첫째, 전체 논문의 연도별 편수는 2017년 12편으로 가장 많았으며, 발행 유형은 학위논문이 34편, 학술지논문이 9편이다.  둘째, 실험연구의 연구대상은 남학생 124명, 여학생 51명으로 나타났다.  대상학생 수는 1∼3명 이하 18편, 지적장애 3급 68명으로 가장 많았다."
자립을 준비하는 쉼터 거주 청소년의 낙관성을 위한 미술치료 질적 사례 연구,2019.1,"본 연구의 목적은 자립을 준비하는 쉼터 거주 청소년이 낙관성을 위한 미술치료에서 어떤 경험을 하고, 그 의미는 무엇인지 살펴보는 데 있다.  이를 위하여 쉼터에 입소한 만 19세 청소년을 참여자로 선정하고, 질적 사례 연구 방법을 통해 연구하였 다.  미술치료 사례는 2019년 3월 14일부터 5월 16일까지 주 2회에서 3회, 60분간 총 20회기로 G 쉼터에서 진행되었다.  본 연구의 결과를 바탕으로 도출된 결론은 첫째, 참여자는 미술 표현을 통해 과거 경험을 재구조화해봄으로써 자기이해를 경험하였다.  둘째, 참여자는 미술 작품 속에서 발견한 긍정적인 자기인식을 통해 자기 통제성을 습득하였다."
주간보호센터를 이용하는 경증 치매노인의 삶의 질을 위한 집단미술치료 질적 사례 연구,2019.1,"본 연구의 목적은 주간보호센터를 이용하는 경증치매 노인이 삶의 질을 위한 집단미술치료에서 어떠한 경험을 하고, 그 경험의 의미는 무엇인지 살펴보는데 있다.  이를 위해 경증 치매 등급을 받은 노인 6명을 참여자로 선정하여, 질적 사례 연구 방법으로 탐구하였다.  집단미술치료 사례는 2018년 6월 21일부터 9월 13일까지 주1회 총 20회기를 진행하였다.  그 결과 8개의 대주제와 21개의 하위주제가 도출되었으며, 결론은 다음과 같다.  첫째, 참여자들은 다른 집단원들과 미술 작업을 하고 작품에 담긴 이야기를 나누면서 치매로 인한 우울한 마음과 삶에서의 답답함을 풀어내고 정서적인 안정감을 찾는 경험을 하였다."
부모의 이혼을 경험한 아동의 자기표현을 위한 미술치료 사례 연구,2019.1,"본 연구의 목적은 부모의 이혼을 경험한 아동이 자기표현을 위한 미술치료에서 어떠한 경험을 하고, 그 의미는 무엇인지 살펴 보는 데 있다.  이를 위하여 부모 이혼 후 어머니와 함께 살고 있는 8세 아동을 연구 참여자로 선정하고, 사례 연구 방법으로 탐구하였다.  미술치료 사례는 2015년 2월 19일부터 2015년 6월 4일까지 주 1회, 60분간 총 15회기로 진행되었다.  본 연구 의 결과를 바탕으로 도출한 결론은 첫째, 참여자는 미술활동을 통해 부정적 감정들을 자유롭게 표출하고 정화시킴으로써 정서 적 안정을 찾았다.  둘째, 참여자는 미술활동과 작품을 통한 자기표현의 과정에서 자신과 문제를 분리시킴으로써 보다 긍정적인 자기인식을 하였다."
조혈모세포이식을 받는 동안 무균실에 입원한 소아암 환아의 미술치료 사례연구,2017.6,"본 연구는 국내 최초로 무균실에서 조혈모세포 이식을 받는 소아암 환아를 대상으로 한 미술치료 연구이다.  그동안 의료적 처치 외에는 무균실에 입원한 환아에게 적절한 심리치료적 개입이 없었던 점에 초점을 맞춰 무균실에 입원한 환아의 심리적 상황과 무균실이라는 병동의 의료 환경에서 충분히 훈련된 미술치료사가 무균실에서도 개입 가능한 미술치료를 보여주는 것이 본 연구의 목적이다.  본 연구는 미술치료사가 무균실에 입원한 환아의 신체적, 심리적 상황을 고려하여 무균실 유리창에 그림을 그려주는 것으로 미술치료를 시도하였다.  연구의 대상은 서울시의 Y대학병원에서 조혈모세포이식을 받는 소아암 환아 4명이며 평균 연령은 12세이다.  자료 수집은 2014년 7월부터 2015년 8월까지 평균 7."
소아암 환자의 보호자와 의료진의 미술치료에 대한 인식: 포커스 그룹 인터뷰를 바탕으로,2017.6,"본 연구는 소아암 환자의 보호자와 의료진들의 병원학교에서 시행되는 미술치료에 대한 인식을 알아보기 위해 포커스 그룹 인터뷰 방식을 사용하였다.  인터뷰의 대상은 서울 소재의 대학병원 소아?청소년과 소속의 의료진 8명과 소아암 환자의 보호자 9명으로 총 17명이었다.  연구를 위하여 이들에게 총 세 차례의 포커스 그룹 인터뷰를 시행하였고, 두 가지의 코딩(개방 코딩과 축 코딩)을 이용하여 이를 분석하고자 하였다.  이들 중 의료진집단은 동일한 병원의 근무자로 구성하였고, 보호자 집단은 해당 병원의 치료경험이 있거나 치료 중인 환자의 보호자로 구성하였다.  Krueager와 Casey(2009)의 포커스 그룹 인터뷰 4가지 질문 단계를 본 연구에 맞게 수정 보완하여 사용하였다."
미술심리치료학 석사과정 전공 졸업생의 미술치료사됨 체험연구,2017.4,"본 연구는 미술심리치료전공 석사과정을 마친 후 미술치료사가 되는 과정에서 그들이 어떤 체험을 하였고, 어떤 미술치료사의 삶을 살아가고 있는지에 대한 현상을 살펴봄으로서 미술치료의 현재를 반성하고 미래를 이야기하는 데에 목적이 있다.  이를 위해 맥스 밴 매넌(Max Van Manen)의 해석학적 현상학적 체험연구 방법론을 적용하여 6명의 연구 참여자들의 심층면담을 분석하였고, 결과적으로 총 11개의 본질적 주제와 35개의 하위주제가 도출되었다.  이렇게 도출된 주제를 바탕으로 살펴본 미술치료사됨의 체험은 이론을 실제에 적용해가는체험이고, 정체성을 찾아가는 체험이며, 성장의 체험이다.  연구 참여자들의 이러한 체험은 한국 미술치료의 학문적 가치 발전과 미술치료사의 전문성 확립에 대한 필요성을 제시하고 있다.  이를 위해 한국의 미술치료는 임상 현장의 특수성을 반영한 미술치료의 재정의가 필요하며, 전문성을 보호하기 위한 자격관리의 필요성이 요구될 뿐 아니라 더 나아가 미술 고유의 치유적 속성과 치료 요인에 대한 이론적, 인문학적 고찰의 연구가 필요하다."
